"","yr","ene","feb","mar","abr","may","jun","jul","aug","sep","oct","nov","dec"
"25",1974,23,9.6,30.4666666666667,33.5666666666667,116.366666666667,218.066666666667,123.1,120.4,239,39.1333333333333,26,13.4
"26",1975,31.6666666666667,11.9333333333333,9.33333333333333,12.9,123.533333333333,135.966666666667,123.6,108,239.466666666667,116.1,49.5,14.4333333333333
"27",1976,12.2333333333333,10.6666666666667,7.93333333333333,37.7666666666667,86.9666666666667,195.733333333333,212.366666666667,114.566666666667,149.9,95.8666666666667,66.7666666666667,18.6666666666667
"28",1977,8.96666666666667,10.5333333333333,8.76666666666667,26.3666666666667,112.566666666667,153.633333333333,50.1333333333333,240.333333333333,247.2,60.6666666666667,23.8,33.0333333333333
"29",1978,14.7666666666667,8.86666666666667,13.6,32.1333333333333,131.1,207.866666666667,176.9,174.366666666667,232.8,90.7666666666667,43.4666666666667,30.0333333333333
"30",1979,12.2333333333333,8.76666666666667,20.2333333333333,68.6333333333333,120.566666666667,165.3,225.566666666667,220.8,239.566666666667,75,17.6666666666667,23.1
"31",1980,33.3333333333333,11.5333333333333,9.56666666666667,34.5666666666667,102.3,126.466666666667,178.8,149.933333333333,240.866666666667,91.4,20.1333333333333,18.7333333333333
"32",1981,12.1,12.8333333333333,22.7,61.7666666666667,173.666666666667,307.866666666667,186.166666666667,239.333333333333,244.2,107.133333333333,14,14.6
"33",1982,8.53333333333333,16.4,13.5666666666667,51.9333333333333,201.133333333333,226.3,95.5,90.7,282,123.7,32.5666666666667,19
"34",1983,11.8,72.4666666666667,52.5,14.5666666666667,53.6666666666667,221.3,169.2,167.933333333333,311.766666666667,68.1,36.7333333333333,21.2666666666667
"35",1984,11.3666666666667,17.5666666666667,10.2333333333333,19.8666666666667,246.6,289.3,293.566666666667,175.433333333333,423.133333333333,58.2666666666667,10.6666666666667,20.5666666666667
"36",1985,23.0666666666667,14.3666666666667,16.5333333333333,47.6,108.633333333333,323.266666666667,193.4,241.166666666667,186.366666666667,52.3333333333333,31.2,20.9666666666667
"37",1986,14.8333333333333,8.73333333333333,13.8,30,173.033333333333,129.533333333333,88.3,94.5666666666667,97.9,57.2666666666667,39.5333333333333,15.3666666666667
"38",1987,8.93333333333333,7.56666666666667,16.5333333333333,49.9,70.9,234.466666666667,134.633333333333,75.9333333333333,214.966666666667,34.9666666666667,12.6,21.5666666666667
"39",1988,21.4333333333333,12.0333333333333,19.0333333333333,32.4333333333333,87.5666666666667,304.9,126.633333333333,244.8,224.566666666667,116.266666666667,26.7,56
"40",1989,11.3333333333333,8.36666666666667,9.86666666666667,39.7,121.933333333333,214.333333333333,85.6666666666667,211.533333333333,323.1,121.366666666667,49.0333333333333,16.3
"41",1990,10.6333333333333,13.1666666666667,32.4666666666667,72.3666666666667,99.7333333333333,240.833333333333,181.366666666667,76.5,158.4,56.3,38.5666666666667,31.1
"42",1991,66.2666666666667,9.16666666666667,4.76666666666667,98.1666666666667,105.366666666667,229.733333333333,114.266666666667,142.966666666667,163.6,112,21.4,33.0666666666667
"43",1992,8.76666666666667,29.8,18.9,40.1666666666667,94.4,225.666666666667,191.5,119.5,192.466666666667,49.3666666666667,31.1333333333333,20.1
"44",1993,0.333333333333333,7.33333333333333,17.2333333333333,74.5666666666667,69.9,303.3,121.6,183.566666666667,209.3,93.7333333333333,19.7666666666667,12.6333333333333
"45",1994,31.0666666666667,22.3666666666667,8.66666666666667,38.7,123.366666666667,172,98.6,203.433333333333,117.2,89.6,30.7,32.2
"46",1995,73.1,60.9666666666667,19.9333333333333,57.0333333333333,90.0333333333333,255.9,196.8,360.333333333333,402.933333333333,124.666666666667,111.9,95.4
"47",1996,12.1,0,65.8666666666667,82.5666666666667,138.8,272.166666666667,164.466666666667,307,214.433333333333,177.833333333333,30.2333333333333,99.3666666666667
"48",1997,0,12.0333333333333,61.9666666666667,100.9,123.733333333333,246.766666666667,167.966666666667,177.8,222.366666666667,77.9333333333333,176.5,15.2333333333333
"49",1998,9.16666666666667,16.9333333333333,9.93333333333333,3.4,69.8333333333333,179.533333333333,225.533333333333,108.333333333333,293.966666666667,121.9,72.4,82.8333333333333
"50",1999,9.3,8.86666666666667,0,55.9666666666667,122.533333333333,208.6,193.4,183.866666666667,348.533333333333,142.033333333333,21,22.5333333333333
"51",2000,6.33333333333333,16.1,14.1333333333333,13.0333333333333,231.1,237.333333333333,75.6333333333333,141.9,247.666666666667,39.6333333333333,39.5,15.8666666666667
"52",2001,6.6,23.6666666666667,16.7,27.6333333333333,161.966666666667,108.7,108.1,134.833333333333,198.1,71.6,18.3,40.9666666666667
"53",2002,9.7,23.4,13.8,30.5,88.6,290.666666666667,150.9,159.166666666667,290.9,264.8,76.6666666666667,70.0666666666667
"54",2003,23.9666666666667,5.56666666666667,66.3333333333333,90.1333333333333,119.5,226.9,110.7,154.166666666667,260.666666666667,311.733333333333,88.6,97.3
"55",2004,98.9,55.7,25.0666666666667,92.1666666666667,199.633333333333,150.566666666667,110.433333333333,111.8,237.5,120.466666666667,20.6666666666667,13.2666666666667
"56",2005,13.2333333333333,3.73333333333333,25.0333333333333,42.4666666666667,120.9,273.9,150.6,169.133333333333,147.3,155.6,18.8,11.7
"57",2006,14.5333333333333,7.93333333333333,12.2333333333333,20.6666666666667,156.233333333333,154.9,153.3,118.633333333333,100.533333333333,83.2,16.1,26.0333333333333
"58",2007,17.5333333333333,6,12.4333333333333,25.7,91.6,231.933333333333,81.1666666666667,173.2,123.6,102.666666666667,20.0333333333333,11.2
"59",2008,3.23333333333333,12.9333333333333,20.4333333333333,18.1666666666667,96.4333333333333,229.566666666667,171.166666666667,209.2,157.5,75.1666666666667,7.03333333333333,12.2
"60",2009,10.8333333333333,12.1666666666667,7.56666666666667,38.8,153.2,215.366666666667,54.2333333333333,82.2666666666667,157.666666666667,62.3666666666667,44.1666666666667,34.9333333333333
"61",2010,20.9,9.26666666666667,7.06666666666667,47.3333333333333,125.3,203.666666666667,212,240.933333333333,224.6,11.1333333333333,19.6,10.6666666666667
